0
[1680505200] LOG ROTATION: DAILY
[1680505200] LOG VERSION: 2.0
[1680505200] CURRENT HOST STATE: SPCJMPTS03;UP;HARD;1;OK - 10.12.32.102 rta 0.303ms lost 0%
[1680505200] CURRENT HOST STATE: VSWPRDADSDC01;UP;HARD;1;OK - 10.12.32.74 rta 0.189ms lost 0%
[1680505200] CURRENT HOST STATE: VSWPRDADSDC02;UP;HARD;1;OK - 10.12.32.75 rta 0.233ms lost 0%
[1680505200] CURRENT HOST STATE: VSWPRDADSDC03;UP;HARD;1;OK - 10.12.32.76 rta 0.196ms lost 0%
[1680505200] CURRENT HOST STATE: a2gwa1;UP;HARD;1;OK - 10.12.4.200 rta 0.585ms lost 0%
[1680505200] CURRENT HOST STATE: accounting;UP;HARD;1;OK - 10.12.19.154 rta 0.488ms lost 0%
[1680505200] CURRENT HOST STATE: adyen056_ext_prd;UP;HARD;1;OK - 10.12.18.90 rta 0.698ms lost 0%
[1680505200] CURRENT HOST STATE: ais;UP;HARD;1;OK - 10.12.5.115 rta 0.365ms lost 0%
[1680505200] CURRENT HOST STATE: amxwa1;UP;HARD;1;OK - 10.12.4.50 rta 0.549ms lost 0%
[1680505200] CURRENT HOST STATE: api_aws_allegiantair_com;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: awbwa1;UP;HARD;1;OK - 10.12.4.145 rta 0.462ms lost 0%
[1680505200] CURRENT HOST STATE: aws_prd02_db2;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: cbi-admin;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: cbiap1;UP;HARD;1;OK - 10.12.6.145 rta 0.591ms lost 0%
[1680505200] CURRENT HOST STATE: cluster_checks;UP;HARD;1;OK - 127.0.0.1 rta 0.070ms lost 0%
[1680505200] CURRENT HOST STATE: comrd-redis-cluster;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: dlb_vip;UP;HARD;1;OK - 10.12.60.10 rta 0.540ms lost 0%
[1680505200] CURRENT HOST STATE: external_checks;UP;HARD;1;OK - 127.0.0.1 rta 0.059ms lost 0%
[1680505200] CURRENT HOST STATE: f5-pools;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: fes;UP;HARD;1;OK - 10.12.12.20 rta 0.496ms lost 0%
[1680505200] CURRENT HOST STATE: fids;UP;HARD;1;OK - 10.12.19.230 rta 0.810ms lost 0%
[1680505200] CURRENT HOST STATE: flight;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: g4php1;UP;HARD;1;OK - 10.12.19.20 rta 0.447ms lost 0%
[1680505200] CURRENT HOST STATE: g4pop_vip;UP;HARD;1;OK - 10.12.4.170 rta 0.378ms lost 0%
[1680505200] CURRENT HOST STATE: g4pwa1;UP;HARD;1;OK - 10.12.4.115 rta 0.394ms lost 0%
[1680505200] CURRENT HOST STATE: jboss_heap;UP;HARD;1;OK - 127.0.0.1 rta 0.071ms lost 0%
[1680505200] CURRENT HOST STATE: jbshc1;UP;HARD;1;OK - 10.12.6.133 rta 0.415ms lost 0%
[1680505200] CURRENT HOST STATE: jbshc1-mobile;UP;HARD;1;OK - 10.12.6.233 rta 0.438ms lost 0%
[1680505200] CURRENT HOST STATE: jbshc1-ops;UP;HARD;1;OK - 10.12.6.209 rta 0.462ms lost 0%
[1680505200] CURRENT HOST STATE: jbshc2;UP;HARD;1;OK - 10.12.12.25 rta 1.928ms lost 0%
[1680505200] CURRENT HOST STATE: jbshc3;UP;HARD;1;OK - 10.12.18.100 rta 0.615ms lost 0%
[1680505200] CURRENT HOST STATE: jmplx_prd02_external_checks;UP;HARD;1;OK
[1680505200] CURRENT HOST STATE: kayws1;UP;HARD;1;OK - 10.12.4.30 rta 0.474ms lost 0%
[1680505200] CURRENT HOST STATE: lv-nap-4500;UP;HARD;1;OK - 10.12.132.1 rta 0.796ms lost 0%
[1680505200] CURRENT HOST STATE: lv-nap-asa-1;UP;HARD;1;OK - 10.12.32.1 rta 1.666ms lost 0%
"[1680505200] CURRENT HOST STATE: lv-nap-asa-2;DOWN;HARD;3;CRITICAL - 10.12.32.2: Host unreachable @ 10.12.32.166. rta nan, lost 100%"
[1680505200] CURRENT HOST STATE: lv-nap-asr-1;UP;HARD;1;OK - 10.24.100.50 rta 0.915ms lost 0%
[1680505200] CURRENT HOST STATE: lv-nap-asr-2;UP;HARD;1;OK - 10.24.100.51 rta 0.879ms lost 0%
[1680505200] CURRENT HOST STATE: m;UP;HARD;1;OK - 10.12.4.10 rta 0.363ms lost 0%
[1680505200] CURRENT HOST STATE: m-silo1;UP;HARD;1;OK - 10.12.4.11 rta 0.596ms lost 0%
[1680505200] CURRENT HOST STATE: m-silo2;UP;HARD;1;OK - 10.12.4.12 rta 0.503ms lost 0%
[1680505200] CURRENT HOST STATE: m-silo3;UP;HARD;1;OK - 10.12.4.13 rta 0.544ms lost 0%
[1680505200] CURRENT HOST STATE: mobwa1;UP;HARD;1;OK - 10.12.4.40 rta 0.514ms lost 0%
[1680505200] CURRENT HOST STATE: rwbop_vip;UP;HARD;1;OK - 10.12.6.155 rta 0.509ms lost 0%
[1680505200] CURRENT HOST STATE: rwbws1;UP;HARD;1;OK - 10.12.6.240 rta 0.567ms lost 0%
[1680505200] CURRENT HOST STATE: smfws1;UP;HARD;1;OK - 10.12.6.100 rta 0.524ms lost 0%
[1680505200] CURRENT HOST STATE: smfws2;UP;HARD;1;OK - 10.12.6.105 rta 0.529ms lost 0%
[1680505200] CURRENT HOST STATE: smfws3;UP;HARD;1;OK - 10.12.6.110 rta 0.600ms lost 0%
[1680505200] CURRENT HOST STATE: svpamxdb01;UP;HARD;1;OK - 10.12.8.50 rta 0.397ms lost 0%
[1680505200] CURRENT HOST STATE: svpamxdb02;UP;HARD;1;OK - 10.12.8.52 rta 0.421ms lost 0%
[1680505200] CURRENT HOST STATE: svpamxwa11;UP;HARD;1;OK - 10.12.4.51 rta 0.350ms lost 0%
[1680505200] CURRENT HOST STATE: svpamxwa12;UP;HARD;1;OK - 10.12.4.52 rta 1.383ms lost 0%
[1680505200] CURRENT HOST STATE: svpdhcmg01;UP;HARD;1;OK - 10.12.32.254 rta 0.205ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau11;UP;HARD;1;OK - 10.12.6.76 rta 0.357ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau12;UP;HARD;1;OK - 10.12.6.77 rta 0.495ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau13;UP;HARD;1;OK - 10.12.6.78 rta 0.364ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau14;UP;HARD;1;OK - 10.12.6.79 rta 1.396ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau21;UP;HARD;1;OK - 10.12.6.81 rta 0.294ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau22;UP;HARD;1;OK - 10.12.6.82 rta 0.431ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau23;UP;HARD;1;OK - 10.12.6.83 rta 0.346ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau24;UP;HARD;1;OK - 10.12.6.84 rta 0.328ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau31;UP;HARD;1;OK - 10.12.6.86 rta 0.327ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau32;UP;HARD;1;OK - 10.12.6.87 rta 0.347ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau33;UP;HARD;1;OK - 10.12.6.88 rta 0.340ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpau34;UP;HARD;1;OK - 10.12.6.89 rta 0.377ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpdb11;UP;HARD;1;OK - 10.12.8.35 rta 0.348ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpdb21;UP;HARD;1;OK - 10.12.8.40 rta 0.587ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpdb31;UP;HARD;1;OK - 10.12.8.45 rta 0.497ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpmc11;UP;HARD;1;OK - 10.12.6.21 rta 2.606ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpmc21;UP;HARD;1;OK - 10.12.6.26 rta 0.377ms lost 0%
[1680505200] CURRENT HOST STATE: svpdrpmc31;UP;HARD;1;OK - 10.12.6.31 rta 0.390ms lost 0%
[1680505200] CURRENT HOST STATE: svpimodb11;UP;HARD;1;OK - 10.12.18.86 rta 4.050ms lost 0%
[1680505200] CURRENT HOST STATE: svpimodb12;UP;HARD;1;OK - 10.12.18.87 rta 0.373ms lost 0%
[1680505200] CURRENT HOST STATE: svpjbsdc01;UP;HARD;1;OK - 10.12.6.130 rta 0.830ms lost 0%
[1680505200] CURRENT HOST STATE: svpjbshc01;UP;HARD;1;OK - 10.12.6.131 rta 0.554ms lost 0%
[1680505200] CURRENT HOST STATE: svpjbshc02;UP;HARD;1;OK - 10.12.6.132 rta 0.677ms lost 0%
[1680505200] CURRENT HOST STATE: svpjbshc13;UP;HARD;1;OK - 10.12.6.138 rta 0.662ms lost 0%
[1680505200] CURRENT HOST STATE: svpjbshc14;UP;HARD;1;OK - 10.12.6.139 rta 0.658ms lost 0%
[1680505200] CURRENT HOST STATE: svpjmplx01;UP;HARD;1;OK - 10.12.32.95 rta 0.214ms lost 0%
[1680505200] CURRENT HOST STATE: svpkayws11;UP;HARD;1;OK - 10.12.4.31 rta 0.325ms lost 0%
[1680505200] CURRENT HOST STATE: svpkayws12;UP;HARD;1;OK - 10.12.4.32 rta 0.361ms lost 0%
[1680505200] CURRENT HOST STATE: svpkayws13;UP;HARD;1;OK - 10.12.4.33 rta 0.474ms lost 0%
[1680505200] CURRENT HOST STATE: svpkayws14;UP;HARD;1;OK - 10.12.4.34 rta 0.339ms lost 0%
[1680505200] CURRENT HOST STATE: svplolap01;UP;HARD;1;OK - 10.12.32.70 rta 0.160ms lost 0%
[1680505200] CURRENT HOST STATE: svplolap11;UP;HARD;1;OK - 10.12.32.72 rta 1.469ms lost 0%
[1680505200] CURRENT HOST STATE: svpmondb11;UP;HARD;1;OK - 10.12.8.90 rta 0.364ms lost 0%
[1680505200] CURRENT HOST STATE: svpmondb12;UP;HARD;1;OK - 10.12.8.91 rta 0.364ms lost 0%
[1680505200] CURRENT HOST STATE: svpmondb13;UP;HARD;1;OK - 10.12.8.92 rta 0.651ms lost 0%
[1680505200] CURRENT HOST STATE: svpmtsap01;UP;HARD;1;OK - 10.12.32.150 rta 0.202ms lost 0%
[1680505200] CURRENT HOST STATE: svpnxpap11;UP;HARD;1;OK - 10.12.32.27 rta 0.776ms lost 0%
